ET_FID,X,Y,Id,HAZSITE_ID,CONTRACTOR,DOE_DIV,DSTRICT_ID,ERS_CLASS,ERS_OPRUNT,ERS_RECLAS,ERS_STAT_D,ERS_TYPE_D,SITE_NAME,SITE_NUM,SWMUFLAG,UNIT_CTGY,PHOTOS,DOE_DIV_S,RES_CONT_S,RES_PROJ,RES_PROJ_S,ERS_CL_RCL,ERS_OP_DES,MAP_AUTH,Shape_len,Lat,Long,ET_ID,ET_X,ET_Y,ET_ANGLE,ET_STATION
14,575328.279146258,136053.056289835,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575328.27915,136053.05629,117.6655,42
15,575330.630816081,136051.212849101,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575330.63082,136051.21285,141.1092,45
16,575332.375830227,136048.787564172,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575332.37583,136048.78756,152.7007,48
17,575333.465626831,136046.006676904,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575333.46563,136046.00668,163.5032,51
18,575333.79037821,136043.038812419,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575333.79038,136043.03881,184.8988,54
19,575333.322916126,136040.089691683,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575333.32292,136040.08969,196.4968,57
20,575332.145317801,136037.344110554,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575332.14532,136037.34411,207.3004,60
21,575330.270340876,136035.0193727,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575330.27034,136035.01937,231.3402,63
22,575327.83413017,136033.28854134,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575327.83413,136033.28854,242.3345,66
23,575325.051412459,136032.206275137,0,343,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-101; 241-A-TK-101,241-A-101,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7065261332,575322,136043,0,575325.05141,136032.20628,253.6077,69
24,575353.499999997,136031.953200001,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575353.5,136031.9532,275.3029,0
25,575350.54203261,136032.382808055,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575350.54203,136032.38281,286.3874,3
26,575347.783960517,136033.524250312,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575347.78396,136033.52425,297.8984,6
27,575345.377344555,136035.29496781,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575345.37734,136035.29497,309.4959,9
28,575343.596117958,136037.696494227,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575343.59612,136037.69649,332.71,12
29,575342.469425206,136040.462566267,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575342.46943,136040.46257,343.4943,15
30,575342.066570484,136043.422488976,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575342.06657,136043.42249,4.8986,18
31,575342.49374826,136046.379037165,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575342.49375,136046.37904,16.622,21
32,575343.634699275,136049.14019302,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575343.6347,136049.14019,27.11,24
33,575345.449667047,136051.513454867,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575345.44967,136051.51345,51.0478,27
34,575347.858747593,136053.282923727,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575347.85875,136053.28292,62.6987,30
35,575350.631047706,136054.393304925,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575350.63105,136054.3933,73.6148,33
36,575353.590835279,136054.803318545,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575353.59084,136054.80332,95.7092,36
37,575356.54202213,136054.334795334,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575356.54202,136054.3348,106.8552,39
38,575359.294207468,136053.171709997,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575359.29421,136053.17171,117.3056,42
39,575361.654927692,136051.339494041,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575361.65493,136051.33949,140.8709,45
40,575363.413245833,136048.924323232,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575363.41325,136048.92432,152.8817,48
41,575364.513111945,136046.146686039,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575364.51311,136046.14669,163.378,51
42,575364.915933157,136043.187635878,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575364.91593,136043.18764,186.5628,54
43,575364.402731829,136040.242041591,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575364.40273,136040.24204,196.5057,57
44,575363.235836386,136037.492139254,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575363.23584,136037.49214,207.2982,60
45,575361.380513147,136035.15131052,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575361.38051,136035.15131,231.342,63
46,575358.950717834,136033.410655021,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575358.95072,136033.41066,242.3388,66
47,575356.176369873,136032.304342384,0,344,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-102; 241-A-TK-102,241-A-102,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.707721797,575354,136043,1,575356.17637,136032.30434,253.1426,69
48,575384.5626,136032.031300001,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575384.5626,136032.0313,275.7092,0
49,575381.607946426,136032.482429207,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575381.60795,136032.48243,286.8574,3
50,575378.839920598,136033.611239704,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575378.83992,136033.61124,296.5671,6
51,575376.469946526,136035.427542185,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575376.46995,136035.42754,320.8709,9
52,575374.679497066,136037.823610795,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575374.6795,136037.82361,331.4575,12
53,575373.561986606,136040.585277684,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575373.56199,136040.58528,344.9541,15
54,575373.133880337,136043.545848794,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575373.13388,136043.54585,6.5631,18
55,575373.604682386,136046.501919149,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575373.60468,136046.50192,14.9302,21
56,575374.758968672,136049.24783131,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575374.75897,136049.24783,28.7422,24
57,575376.584437234,136051.616778286,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575376.58444,136051.61678,50.3868,27
58,575378.987394806,136053.38959611,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575378.98739,136053.3896,63.0772,30
59,575381.761262799,136054.501528046,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575381.76126,136054.50153,73.1426,33
60,575384.723594978,136054.875743577,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575384.72359,136054.87574,95.3075,36
61,575387.675662259,136054.415229795,0,353,Washington River Protection Solutions, ,200E,Accepted,WMA A/AX,None,Inactive,Single-Shell Tank,241-A-103; 241-A-TK-103,241-A-103,Yes,Treatment, Storage and Disposal (TSD),Yes, ,WRPS,Not Specified, ,Accepted    None, ,CHPRC,71.7062529326,575385,136043,2,575387.67566,136054.41523,106.3901,39
