ET_FID,X,Y,Z,WELL_ID,WELL_NAME,HORZ_SURVE,HORIZONTAL,HORZ_SUR_1,HORZ_MEASU,NORTHING,EASTING,HORZ_SUR_2,HORZ_QUALI,HORZ_CONVE,HORZ_SUR_3,HORZ_SUR_4,DISC_X,DISC_Y,ELEV_SURVE,VERTICAL_D,ELEV_SUR_1,ELEV_MEASU,ELEVATION,ELEV_SUR_2,ELEV_QUALI,ELEV_CONVE,ELEV_SUR_3,ELEV_SUR_4,DISC_Z
0,572536.452,138381.034,169.63,A5220,699-49-57B,USACE(JECA),NAD83(91),1/15/1993,Unknown,138381.034,572536.452,m, , ,Center of casing (assumed),3, , ,USACE(JECA),NAVD88,12/3/1992,Unknown,170.473,m, , ,Top of casing, north edge, stamped X,3,169.63
1,572544.276,138389.24,168.941,A5219,699-49-57A,USACE(JECA),NAD83(91),1/15/1993,Unknown,138389.24,572544.276,m, , ,Center of casing (assumed),3, , ,FFS,NAVD88,12/31/2007,Leveling,169.733,m, , ,Top of pump plate, north edge,3,168.941
2,572599.697,137285.125,208.086,A4833,299-E32-5,USACE(JECA),NAD83(91),1/15/1993,Unknown,137285.125,572599.697,m, , ,Center of casing (assumed),3, , ,FFS,NAVD88,12/31/2007,Leveling,209.01,m, , ,Top of pump plate, north edge,3,208.086
3,572600.38,137647.05,200.627,A4835,299-E32-7,KEH,NAD83,9/16/1991,Unknown,137647.05,572600.38,m, , ,Center of casing (assumed),2, , ,KEH,NAVD88,9/24/1996,Unknown,201.7,m, , ,Top of casing,0,200.627
4,572600.4,137515.1,203.381,A4834,299-E32-6,KEH,NAD83,10/30/1991,Unknown,137515.1,572600.4,m, , ,Center of casing (assumed),1, , ,FFS,NAVD88,12/31/2007,Leveling,204.457,m, , ,Top of pump plate, north edge,3,203.381
5,572600.614,137383.996,206.93,A4831,299-E32-3,USACE(JECA),NAD83(91),9/30/1994,Unknown,137383.996,572600.614,m, , ,Center of casing (assumed),3, , ,USACE(JECA),NAVD88,7/5/1994,Unknown,207.294,m, , ,Top of casing, north edge, stamped X,3,206.93
6,572603.743,137187.218,209.779,A4832,299-E32-4,USACE(JECA),NAD83(91),9/30/1994,Unknown,137187.218,572603.743,m, , ,Center of casing (assumed),3, , ,USACE(JECA),NAVD88,7/5/1994,Unknown,210.148,m, , ,Top of casing, north edge, stamped X,3,209.779
7,572611.607,137645.476,200.579,A4829,299-E32-1,USACE(JECA),NAD83(91),9/30/1994,Unknown,137645.476,572611.607,m, , ,Center of casing (assumed),3, , ,USACE(JECA),NAVD88,7/5/1994,Unknown,201.003,m, , ,Top of casing, north edge, stamped X,3,200.579
8,572648.02,137467.509,204.673,A4830,299-E32-2,USACE(JECA),NAD83(91),1/15/1993,Unknown,137467.509,572648.02,m, , ,Center of casing (assumed),3, , ,USACE(JECA),NAVD88,1/16/1993,Unknown,205.325,m, , ,Top of casing, north edge, stamped X,3,204.673
9,572663.39,137741.47,196.743,A4836,299-E32-8,KEH,NAD83,9/16/1991,Unknown,137741.47,572663.39,m, , ,Center of casing (assumed),2, , ,FFS,NAVD88,12/31/2007,Leveling,197.8,m, , ,Top of pump plate, north edge,3,196.743
10,572795.11,137741.69,196.028,A4837,299-E32-9,KEH,NAD83,9/16/1991,Unknown,137741.69,572795.11,m, , ,Center of casing (assumed),2, , ,KEH,NAVD88,9/24/1996,Unknown,197.103,m, , ,Top of casing,0,196.028
11,572804.351,137108.259,0,A4824,299-E28-28,USACE(JECA),NAD83(91),1/15/1993,Unknown,137108.259,572804.351,m, , ,Center of casing (assumed),3, , ,USACE(JECA),NAVD88,1/15/1993,Unknown,210.354,m, , ,Top of casing, north edge, stamped X,3,0
12,572824.14,136278.77,217.601,A6847,299-E29-1,KEH,NAD83,2/13/1992,Unknown,136278.77,572824.14,m, , ,Brass survey marker,2, , ,KEH,NAVD88,2/13/1992,Converted,217.601,m, ,CORPSCON,Brass survey marker,0,217.601
13,572828.95,137467.95,203.564,C7565,299-E33-266,FFS,NAD83(91),9/7/2010,GPS Survey,137467.95,572828.95,m, , ,Center of casing,3, , ,FFS,NAVD88,9/7/2010,GPS Survey,204.272,m, , ,Top of pump plate, north edge,3,203.564
14,572833.68,136311.53,216.805,A6849,299-E29-52,KEH,NAD83,3/11/1992,Unknown,136311.53,572833.68,m, , ,Brass survey marker,2, , ,KEH,NAVD88,3/11/1992,Converted,216.805,m, ,CORPSCON,Brass survey marker,0,216.805
15,572835.62,136318.14,0,A6850,299-E29-53,KEH,NAD83,2/13/1992,Unknown,136318.14,572835.62,m, , ,Brass survey marker,2, , , , ,, ,0, , , , ,0,0
16,572866.03,137467.96,203.18,C7564,299-E33-265,FFS,NAD83(91),9/7/2010,GPS Survey,137467.96,572866.03,m, , ,Center of casing,3, , ,FFS,NAVD88,9/7/2010,GPS Survey,203.837,m, , ,Top of pump plate, north edge,3,203.18
17,572884.73,136442.07,215.799,A6846,299-E28-95,KEH,NAD83,3/11/1992,Unknown,136442.07,572884.73,m, , ,Brass survey marker,2, , ,KEH,NAVD88,3/11/1992,Converted,215.799,m, ,CORPSCON,Brass survey marker,0,215.799
18,572911.52,136808.2,211.256,A6845,299-E28-94,KEH,NAD83,3/11/1992,Unknown,136808.2,572911.52,m, , ,Brass survey marker,2, , ,KEH,NAVD88,3/11/1992,Converted,211.256,m, ,CORPSCON,Brass survey marker,0,211.256
19,572923.796,137467.779,202.85,A4855,299-E33-30,USACE(JECA),NAD83(91),1/15/1993,Unknown,137467.779,572923.796,m, , ,Center of casing (assumed),3, , ,USACE(JECA),NAVD88,1/16/1993,Unknown,203.387,m, , ,Top of casing, north edge, stamped X,3,202.85
