ET_FID,X,Y,Id,FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,WIDS_,WIDS_ID,DXF_LAYER,CLASS,TEXT,ET_X,ET_Y,ET_ANGLE,ET_STATION,ET_ID
43,572470.22855294,137216.660370503,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572470.22855,137216.66037,3.9093,129,0
44,572470.433111712,137219.653388329,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572470.43311,137219.65339,3.9093,132,0
45,572470.637670484,137222.646406156,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572470.63767,137222.64641,3.9112,135,0
46,572471.082944587,137225.609986377,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572471.08294,137225.60999,10.0347,138,0
47,572471.605672883,137228.564094555,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572471.60567,137228.56409,10.0347,141,0
48,572472.12840118,137231.518202733,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572472.1284,137231.5182,10.0347,144,0
49,572472.651129476,137234.472310911,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572472.65113,137234.47231,10.0347,147,0
50,572473.65980405,137237.02466643,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572473.6598,137237.02467,69.129,150,0
51,572476.462966396,137238.093441833,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572476.46297,137238.09344,69.129,153,0
52,572479.266128742,137239.162217237,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572479.26613,137239.16222,69.1297,156,0
53,572482.069291088,137240.23099264,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572482.06929,137240.23099,69.129,159,0
54,572484.872453434,137241.299768044,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572484.87245,137241.29977,69.1297,162,0
55,572487.734892357,137241.909292939,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572487.73489,137241.90929,96.1614,165,0
56,572490.717563374,137241.587309084,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572490.71756,137241.58731,96.1616,168,0
57,572493.700234391,137241.265325228,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572493.70023,137241.26533,96.1616,171,0
58,572496.673218972,137240.869056971,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572496.67322,137240.86906,98.697,174,0
59,572499.638722717,137240.415418853,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572499.63872,137240.41542,98.697,177,0
60,572502.604226461,137239.961780735,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572502.60423,137239.96178,98.6975,180,0
61,572505.569730205,137239.508142617,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572505.56973,137239.50814,98.6975,183,0
62,572508.53523395,137239.054504499,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572508.53523,137239.0545,98.6972,186,0
63,572511.476408563,137238.464208563,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572511.47641,137238.46421,101.4923,189,0
64,572514.41626666,137237.866517702,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572514.41627,137237.86652,101.4914,192,0
65,572517.356124758,137237.268826841,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572517.35612,137237.26883,101.4918,195,0
66,572520.129882385,137236.254776366,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572520.12988,137236.25478,122.0052,198,0
67,572522.673870368,137234.664768458,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572522.67387,137234.66477,122.0058,201,0
68,572525.21785835,137233.074760551,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572525.21786,137233.07476,122.0052,204,0
69,572527.561260341,137231.297719393,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572527.56126,137231.29772,151.999,207,0
70,572528.969706403,137228.648893297,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572528.96971,137228.64889,151.999,210,0
71,572530.378152465,137226.0000672,0,0,0,0,0,638.857,3,21,UN-UPR-TEXT,21, ,572530.37815,137226.00007,151.999,213,0
